City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,butaritari,3.0707,172.7902,27.51,79,43,7.83,KI,1678437281
83,geraldton,-28.7667,114.6,26.23,57,75,8.23,AU,1678437082
84,northam,51.0333,-4.2167,4.03,84,100,9.51,GB,1678437282
85,itarema,-2.9248,-39.9167,24.1,93,100,4.82,BR,1678437283
86,ulladulla,-35.35,150.4667,21.73,76,1,5.49,AU,1678437135
87,kosh-agach,50.0,88.6667,-10.12,63,2,0.85,RU,1678437284
88,bawana,28.8,77.0333,29.03,10,0,3.48,IN,1678437285
89,bethel,41.3712,-73.414,0.2,79,0,0.0,US,1678436812
90,college,64.8569,-147.8028,-5.01,89,100,1.54,US,1678437288
91,lebu,-37.6167,-73.65,13.21,89,84,1.52,CL,1678437289
92,buala,-8.145,159.5921,26.7,82,92,1.92,SB,1678437289
93,ashqelon,31.6693,34.5715,23.22,37,0,1.28,IL,1678437291
94,mukhen,48.1,136.1,-2.28,96,98,0.96,RU,1678437292
95,lazaro cardenas,17.9583,-102.2,21.68,82,27,1.13,MX,1678437292
96,chulumani,-16.4096,-67.5263,15.57,89,93,1.22,BO,1678436744
97,sterling,39.0062,-77.4286,5.44,76,100,0.45,US,1678437294
98,kavaratti,10.5669,72.642,28.3,64,39,2.71,IN,1678437296
99,skjervoy,70.0311,20.9714,-7.0,59,100,7.77,NO,1678437296
100,namibe,-15.1961,12.1522,24.98,63,66,3.21,AO,1678437297
101,mar del plata,-38.0023,-57.5575,18.94,97,100,4.12,AR,1678437106
102,bairiki,1.3292,172.9752,27.24,80,13,6.84,KI,1678437298
103,fort-shevchenko,44.5086,50.263,9.16,84,53,4.09,KZ,1678437299
104,norman wells,65.282,-126.8329,-15.98,66,75,7.72,CA,1678437051
105,chapais,49.7834,-74.8492,-10.12,97,99,3.23,CA,1678437300
106,camacha,33.0833,-16.3333,16.68,88,20,1.54,PT,1678437104
107,ostrovnoy,68.0531,39.5131,-11.18,92,100,8.22,RU,1678436878
108,trelew,-43.249,-65.3051,17.03,42,4,4.09,AR,1678437302
109,plouzane,48.3833,-4.6167,7.18,70,100,9.77,FR,1678437303
110,coahuayana,18.7333,-103.6833,21.6,84,82,1.18,MX,1678437304
111,homer,59.6425,-151.5483,-0.06,60,0,1.54,US,1678437305
112,poso,-1.3959,120.7524,28.52,72,51,1.8,ID,1678437306
113,pisco,-13.7,-76.2167,23.03,88,0,1.03,PE,1678436763
114,dongsheng,39.8161,109.9776,8.05,24,2,7.43,CN,1678437307
115,klaksvik,62.2266,-6.589,-2.49,77,100,11.79,FO,1678436727
116,kodiak,57.79,-152.4072,3.73,41,0,9.26,US,1678437061
117,fiche,9.8,38.7333,16.87,46,95,1.51,ET,1678437309
118,ballina,-28.8667,153.5667,24.32,87,100,4.27,AU,1678437310
119,zimapan,20.75,-99.35,10.57,91,1,0.61,MX,1678437311
120,vila franca do campo,37.7167,-25.4333,17.23,87,100,11.99,PT,1678437311
121,iranshahr,27.2025,60.6848,30.19,17,0,0.0,IR,1678437312
122,cabo san lucas,22.8909,-109.9124,20.84,45,43,0.45,MX,1678437039
123,ust-nera,64.5667,143.2,-29.96,99,57,1.37,RU,1678436836
124,sao filipe,14.8961,-24.4956,25.18,52,99,4.11,CV,1678437314
125,rimouski,48.4488,-68.524,0.82,88,100,4.53,CA,1678437212
126,kloulklubed,7.0419,134.2556,28.28,77,67,6.54,PW,1678437315
127,port moresby,-9.4431,147.1797,26.68,74,40,3.09,PG,1678437126
128,bluff,-46.6,168.3333,15.76,72,100,7.83,NZ,1678437000
129,ornskoldsvik,63.2909,18.7153,-9.47,73,40,1.54,SE,1678437038
130,hasaki,35.7333,140.8333,20.22,71,59,1.5,JP,1678436763
